"last_name, first_name","player_id","year","on_base_plus_slg","xba","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed"
"Witt Jr., Bobby",677951,2023,"0.814",".294",".239",".393",".427",".335",".360","-0.018","75.1",53.7,18.7,15.4,32.7,26.9,"7",7,5.9,-0.6,49.9,30.8,"90.7","15.7",34.4,61,11.5,7.2,22.1,25.9,30.1,3,45.6,"102.080606768","95.411820457"
"Riley, Austin",663586,2023,"0.861",".273",".243",".449",".452",".377",".372",".008","76.2",65.1,19.1,13.9,30.4,22.1,"7.5",13,9.6,-2.7,48.1,33.9,"92.3","13.5",35.2,66,13.9,7.8,23.6,24,28.6,1.9,49.2,"103.384251814","96.274145591"
"Smith, Will",669257,2023,"0.797",".258",".173",".354",".361",".313",".317",".003","68.6",3,10.4,8.4,32.3,26.1,"7.2",9,8.8,1.6,60.9,35.2,"89.3","15.6",37.5,26,6.7,9.3,24.8,29.5,27.1,2.3,41.6,"99.645654456","94.001340492"
"Stott, Bryson",681082,2023,"0.748",".267",".119",".354",".336",".333",".320",".013","67.9",0.7,9.8,8.5,38.8,33.9,"7",7,6.2,6.6,48.8,32.2,"88.1","10.1",36.4,23,4.7,5.3,26.5,25.1,35.6,2.8,35.2,"97.379136163","92.802445092"
"Outman, James",681546,2023,"0.790",".228",".167",".456",".420",".392",".362",".020","73.4",33.6,11.7,8.2,23.2,16.1,"7.8",14,11.3,-2.4,46.4,35.3,"87.9","15.7",38.2,34,11.1,3.9,27.8,25.5,25.5,6.2,39.9,"99.962159145","94.027798454"
"Schwarber, Kyle",656941,2023,"0.817",".220",".266",".434",".460",".308",".345","-0.023","77.1",74.4,20.5,15.2,29,21.4,"7.9",8,13.1,-7.3,65.5,29.7,"92.4","19",34.3,61,16.4,6.7,16.9,30.8,27.1,2.1,48.8,"103.398490108","96.18179379"
"Springer III, George",543807,2023,"0.732",".264",".158",".352",".369",".322",".333","-0.006","72.7",24.5,11.8,9.3,26.7,21,"7.5",7,9.9,-0.9,52.5,31.7,"88.3","12",32.2,38,7.7,6.5,25.7,23.6,31.8,4.5,39.9,"100.34851102","94.297792755"
"Suzuki, Seiya",673548,2023,"0.842",".283",".187",".427",".425",".375",".376",".002","72.4",30.9,19.5,15.7,36.2,29.1,"7.1",9,4.7,1.3,42.2,31.5,"91.4","10.8",36.5,41,10.5,8.2,27.3,20.2,30.6,3.1,48,"102.157061122","95.610201816"
"Bohm, Alec",664761,2023,"0.764",".290",".163",".359",".377",".326",".345","-0.016","72",20.2,16.1,13.2,32.9,27.1,"7.4",5,6.9,2.3,51.2,31.6,"89.4","11.1",35.1,27,5.7,7,26.6,24.7,33.6,2.3,41.7,"100.435445021","94.400147213"
"Realmuto, J.T.",592663,2023,"0.762",".254",".208",".406",".421",".346",".352","-0.002","73.5",35.5,14.6,10.8,28.6,21.2,"7.6",4,16.3,2.4,48.6,37.5,"89.8","16.7",36.2,40,11.2,7,24.2,27.5,27,3.1,43.3,"101.30139764","94.961935393"
